batter_name_id,batter,batter_name_new,pitch,pa,ab,game_year,out_zone_swing%,zone_swing%,swing%,zone%,out_zone_contact%,zone_contact%,contact%,first_pitch_strike%,first_pitch_swing%,swstr%,cstr%,csw%,out_zone_swing%_std,zone_swing%_std,swing%_std,out_zone_contact%_std,zone_contact%_std,contact%_std,first_pitch_swing%_std,swstr%_std,cstr%_std,csw%_std,out_zone_swing%_std_percentile,zone_swing%_std_percentile,swing%_std_percentile,out_zone_contact%_std_percentile,zone_contact%_std_percentile,contact%_std_percentile,first_pitch_swing%_std_percentile,swstr%_std_percentile,cstr%_std_percentile,csw%_std_percentile
Alex Torres_456776_2015,456776,Alex Torres,4,1,1,2015,0.0,33.3,25.0,75.0,0.0,100.0,100.0,0.0,0.0,0.0,25.0,25.0,-1.9436180864908073,-2.0874585143636697,-1.9992578521980218,-2.0225048783194417,1.075212213703856,1.5542201870146974,-1.6573964483192825,-1.3988625699458572,0.5551015457953313,-0.6151709575111742,96,4,3,7,94,96,6,96,84,16
Alex Wood_622072_2015,622072,Alex Wood,253,64,54,2015,23.7,46.8,37.9,61.7,47.8,75.3,68.8,61.5,30.8,11.9,30.4,42.3,-0.43707049340728915,-1.1698776566301028,-0.8830902341037818,-0.15913272808929824,-0.23459195595701934,-0.23764644988703998,0.06124684638446764,-0.10740976374511763,1.1137157806177562,0.7990847223210823,76,7,11,32,25,29,54,49,90,86
Alexei Ramirez_493351_2015,493351,Alexei Ramirez,2183,619,581,2015,32.5,66.0,48.6,48.1,75.9,88.9,84.4,49.9,31.5,7.6,17.4,25.0,0.1223227057123294,0.13512622992430376,0.042723216563533804,0.9362806070878367,0.4865957649898598,0.6582868685638291,0.10030692126409828,-0.5740691811117715,-0.2310962661769707,-0.6151709575111742,41,53,55,88,74,83,56,79,46,16
Alexi Amarista_506560_2015,506560,Alexi Amarista,1380,353,322,2015,33.5,63.9,47.2,45.2,77.9,89.5,85.0,52.5,20.5,7.1,19.3,26.4,0.18589011470319514,-0.007608570167584519,-0.0784112536172363,1.0142459690221524,0.5184128703257512,0.6927458423504006,-0.5134942554158125,-0.6283319040613824,-0.03454681318389501,-0.5007225209929571,36,43,47,90,75,84,25,82,60,25
Alfredo Marte_501245_2015,501245,Alfredo Marte,31,8,6,2015,35.7,58.8,48.4,54.8,40.0,80.0,66.7,50.0,25.0,16.1,19.4,35.5,0.3257384144830999,-0.3542502275335988,0.02541829225199495,-0.4631976396331291,0.014642035840799171,-0.3582528581400412,-0.26239377404675807,0.34839710903161414,-0.024202105131628106,0.24319231637545558,28,25,54,22,35,23,37,25,61,74
Alfredo Simon_430580_2015,430580,Alfredo Simon,17,5,5,2015,50.0,72.7,64.7,64.7,66.7,50.0,54.5,20.0,60.0,29.4,11.8,41.2,1.23475236305248,0.590518211169852,1.4357696236423916,0.5776399421899846,-1.5762132309537862,-1.0589186584670027,1.690609969934776,1.791785539491264,-0.8103999171039298,0.7091609507710549,9,80,94,74,6,10,95,5,10,85
Allan Dykstra_488852_2015,488852,Allan Dykstra,150,37,30,2015,20.7,63.5,38.7,42.0,38.9,70.0,60.3,55.3,31.6,15.3,17.3,32.7,-0.6277727203798864,-0.03479615113746789,-0.813870536857627,-0.5060785886970027,-0.5156430530907292,-0.7258152451968082,0.10588693196118847,0.2615767523122366,-0.2414409742292376,0.014295443339021186,84,41,12,21,15,14,56,30,45,65
Allen Craig_501800_2015,501800,Allen Craig,365,88,79,2015,30.7,59.5,44.4,47.4,61.0,80.6,73.5,52.3,22.7,11.8,21.1,32.9,0.007901369528771017,-0.30667196083630255,-0.3206801939787772,0.355438660677185,0.046459141176690574,0.03228217810777315,-0.3907340200798303,-0.11826230833503977,0.1516579317569134,0.030645219984480453,49,27,32,61,38,43,29,50,72,66
Allen Webster_543903_2015,543903,Allen Webster,37,11,11,2015,42.9,47.8,45.9,62.2,33.3,72.7,58.8,54.5,45.5,18.9,32.4,51.4,0.783423759217333,-1.101908704205394,-0.1908932616422376,-0.7243816021130866,-0.3724660790792164,-0.8119626796632378,0.8815084188567119,0.6522683575494349,1.3206099416630988,1.542999559689495,15,8,40,18,18,12,87,16,92,94
Andre Ethier_444843_2015,444843,Andre Ethier,1709,444,394,2015,29.1,70.0,47.9,46.1,60.4,89.7,80.1,47.3,29.2,9.5,14.9,24.5,-0.09380648485661404,0.4070020396231384,-0.017844018526851562,0.3320490520968903,0.5290185721043819,0.4113308897600634,-0.028033324768974,-0.36787083390325004,-0.48971396748364876,-0.6560453991248233,56,72,50,59,76,70,50,68,25,13
